NCLOC;DCP;NOCom;WMC;;;;;;;;;;;;;;
5;91,53;5;9;;;;;;;;;;;;;;
6;91,3;4;7;;;;;;;;;;;;;;
48;60,33;3;13;;;;;;;;;;;;;;
56;58,21;5;13;;;;;;;;;;;;;;
74;54,04;5;14;;;;;;;;;;;;;;
9;84,21;3;8;;;;;;;;;;;;;;
62;58,94;2;12;;;;;;;;;;;;;;
53;62,41;2;13;;;;;;;;;;;;;;
45;62,81;2;13;;;;;;;;;;;;;;
39;65,79;2;11;;;;;;;;;;;;;;
60;59,18;2;14;;;;;;;;;;;;;;
41;64,66;3;14;;;;;;;;;;;;;;
28;68,89;4;11;;;;;;;;;;;;;;
13;78,33;3;8;;;;;;;;;;;;;;
143;62,66;7;38;;;;;;;;;;;;;;
155;61,06;9;47;;;;;;;;;;;;;;
197;62,48;8;99;;;;;;;;;;;;;;
128;60;6;27;;;;;;;;;;;;;;
293;49,66;12;72;;;;;;;;;;;;;;
186;52,79;7;59;;;;;;;;;;;;;;
148;58,77;8;61;;;;;;;;;;;;;;
158;60,7;7;69;;;;;;;;;;;;;;
11;91,97;4;30;;;;;;;;;;;;;;
180;58,72;9;50;;;;;;;;;;;;;;
10;89,69;4;31;;;;;;;;;;;;;;
75;62,5;4;26;;;;;;;;;;;;;;
108;60,29;8;36;;;;;;;;;;;;;;
35;73,28;4;9;;;;;;;;;;;;;;
77;57,69;5;20;;;;;;;;;;;;;;
13;91,28;3;22;;;;;;;;;;;;;;
4;92,98;4;7;;;;;;;;;;;;;;
48;64,44;3;12;;;;;;;;;;;;;;
36;69,23;3;13;;;;;;;;;;;;;;
44;72,84;3;20;;;;;;;;;;;;;;
115;62,05;10;33;;;;;;;;;;;;;;
6;91,78;5;11;;;;;;;;;;;;;;
5;92,54;5;10;;;;;;;;;;;;;;
34;67,31;6;10;;;;;;;;;;;;;;
40;75,31;3;22;;;;;;;;;;;;;;
140;61,11;11;33;;;;;;;;;;;;;;
6;91,67;4;8;;;;;;;;;;;;;;
125;64,79;6;40;;;;;;;;;;;;;;
71;54,19;3;20;;;;;;;;;;;;;;
93;58,11;9;19;;;;;;;;;;;;;;
11;89,81;5;13;;;;;;;;;;;;;;
73;69,71;2;27;;;;;;;;;;;;;;
6;89,09;5;7;;;;;;;;;;;;;;
58;59,44;4;14;;;;;;;;;;;;;;
56;58,21;5;12;;;;;;;;;;;;;;
49;74,07;3;26;;;;;;;;;;;;;;
132;63,03;10;33;;;;;;;;;;;;;;
70;49,28;8;15;;;;;;;;;;;;;;
6;89,29;4;7;;;;;;;;;;;;;;
425;52,35;15;131;;;;;;;;;;;;;;
371;47,6;14;89;;;;;;;;;;;;;;
5;91,67;4;11;;;;;;;;;;;;;;
41;63,39;4;12;;;;;;;;;;;;;;
37;64,08;5;10;;;;;;;;;;;;;;
39;76,07;3;22;;;;;;;;;;;;;;
122;61,99;12;30;;;;;;;;;;;;;;
6;91,78;4;8;;;;;;;;;;;;;;
41;64,66;4;13;;;;;;;;;;;;;;
