NCLOC;DCP;NOCom;WMC;;;;;;;;;;;;;;
38;63,46;2;12;;;;;;;;;;;;;;
79;58,42;10;22;;;;;;;;;;;;;;
56;63,64;7;19;;;;;;;;;;;;;;
23;73,86;2;7;;;;;;;;;;;;;;
81;61,61;7;15;;;;;;;;;;;;;;
79;58,42;10;22;;;;;;;;;;;;;;
86;54,74;8;19;;;;;;;;;;;;;;
10;82,46;3;7;;;;;;;;;;;;;;
79;58,42;10;23;;;;;;;;;;;;;;
35;65,35;3;12;;;;;;;;;;;;;;
56;63,4;3;13;;;;;;;;;;;;;;
14;78,79;7;7;;;;;;;;;;;;;;
6;88;5;8;;;;;;;;;;;;;;
12;80,65;3;7;;;;;;;;;;;;;;
5;90,91;4;10;;;;;;;;;;;;;;
34;70,43;4;7;;;;;;;;;;;;;;
6;87,23;6;6;;;;;;;;;;;;;;
5;90,38;5;8;;;;;;;;;;;;;;
35;69,57;4;7;;;;;;;;;;;;;;
5;88,89;3;6;;;;;;;;;;;;;;
5;89,8;4;8;;;;;;;;;;;;;;
12;80,95;5;7;;;;;;;;;;;;;;
6;88;5;8;;;;;;;;;;;;;;
12;81,25;3;7;;;;;;;;;;;;;;
5;90;4;8;;;;;;;;;;;;;;
19;78,16;5;8;;;;;;;;;;;;;;
5;89,8;4;8;;;;;;;;;;;;;;
12;80,33;3;7;;;;;;;;;;;;;;
5;90;4;8;;;;;;;;;;;;;;
20;76,74;3;11;;;;;;;;;;;;;;
123;48,54;6;38;;;;;;;;;;;;;;
13;81,16;3;7;;;;;;;;;;;;;;
12;81,54;3;8;;;;;;;;;;;;;;
11;83,33;2;8;;;;;;;;;;;;;;
4;93,44;4;9;;;;;;;;;;;;;;
8;87,1;4;9;;;;;;;;;;;;;;
34;70,18;3;22;;;;;;;;;;;;;;
106;43,62;2;36;;;;;;;;;;;;;;
89;48,85;6;27;;;;;;;;;;;;;;
65;66,15;7;13;;;;;;;;;;;;;;
84;44,37;3;25;;;;;;;;;;;;;;
117;41,79;3;31;;;;;;;;;;;;;;
418;34,07;4;80;;;;;;;;;;;;;;
262;46,42;5;61;;;;;;;;;;;;;;
780;48,14;24;198;;;;;;;;;;;;;;
135;52,8;12;61;;;;;;;;;;;;;;
103;51,64;7;43;;;;;;;;;;;;;;
155;50,79;10;84;;;;;;;;;;;;;;
52;60,9;5;27;;;;;;;;;;;;;;
57;59,86;3;28;;;;;;;;;;;;;;
115;52,48;9;54;;;;;;;;;;;;;;
7;90,91;6;14;;;;;;;;;;;;;;
5;91,07;5;11;;;;;;;;;;;;;;
5;91,8;5;9;;;;;;;;;;;;;;
5;90;5;8;;;;;;;;;;;;;;
77;54,44;5;22;;;;;;;;;;;;;;
6;88,89;2;9;;;;;;;;;;;;;;
106;46,46;6;39;;;;;;;;;;;;;;
54;55,74;6;33;;;;;;;;;;;;;;
64;54,61;4;36;;;;;;;;;;;;;;
128;48,18;6;66;;;;;;;;;;;;;;
124;48,97;6;66;;;;;;;;;;;;;;
